Symbol,Name,Sector,EQ_Flag,Penalty,ROIC,FCF_Velocity,PE,EV_FCF,Score_Quality,Score_Trend,Score_Value,TotalScore
AAPL,Apple Inc.,Technology,✅ HIGH,1.0,0.13406908043037513,0.30519282540300346,32.98481,31.21220074029386,46.79717533238738,100.0,67.08388770498318,73.14998329258138
NVDA,NVIDIA Corporation,Technology,✅ HIGH,1.0,0.23578946062005113,0.03606642180952874,46.5099,58.40597746955667,100.0,49.0471048258539,25.99443760283737,61.1174513310509
META,"Meta Platforms, Inc.",Communication Services,✅ HIGH,1.0,0.07051507973586214,0.11611615953501483,27.47252,35.44851890815242,71.74959001554616,22.352693936253015,83.08263013234048,54.824091613027484
AMZN,"Amazon.com, Inc.",Consumer Cyclical,✅ HIGH,1.0,0.03335281073587908,3.5826380766731627,28.571827,293.0050429255361,40.494899733242725,51.31402759935512,52.99710744383623,47.948102807336056
COST,Costco Wholesale Corporation,Consumer Defensive,✅ HIGH,1.0,0.03162217659137577,0.18771520604243022,52.90948,47.70099598089526,40.494899733242725,51.31402759935512,52.99710744383623,47.948102807336056
JPM,JPMorgan Chase & Co.,Financial Services,✅ HIGH,1.0,0.0,2.814762284987346,15.387112,-3.9866209295313366,40.494899733242725,51.31402759935512,52.99710744383623,47.948102807336056
XOM,Exxon Mobil Corporation,Energy,✅ HIGH,1.0,0.06621242740823241,0.003684542586750788,22.532837,28.515230445425868,40.494899733242725,51.31402759935512,52.99710744383623,47.948102807336056
GOOGL,Alphabet Inc.,Communication Services,✅ HIGH,1.0,0.06621242740823241,0.19629295989954412,28.015726,49.18692820309557,9.240209450939501,80.27536126245722,22.911584755332193,41.07211400164476
AVGO,Broadcom Inc.,Technology,✅ HIGH,1.0,0.044595889930563674,0.07389462733150032,69.87238,6.191903445938917,0.0,56.209005571566564,50.0,34.98360222862662
MSFT,Microsoft Corporation,Technology,✅ HIGH,1.0,0.07362370772972274,-0.2229938510825195,24.93492,38.658505580323464,15.182423600583519,0.0,68.91010446752433,22.541374377085315
