Name,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y,Change,Volume
Lodging,236.95B,39.98,27.16,2.71,4.0,52.12,37.49,31.7,0.3772,0.1477,0.20350000000000001,0.0125,9590000.0
Lumber & Wood Production,22.23B,29.2,18.96,1.74,1.08,1.71,10.98,42.24,0.07339999999999999,0.168,0.0728,0.0045000000000000005,1230000.0
Luxury Goods,42.96B,34.6,20.06,2.17,1.89,10.0,17.95,18.77,-0.2181,0.1592,0.06709999999999999,0.0218,15150000.0
Marine Shipping,43.46B,9.45,12.21,0.3,1.44,1.15,5.38,9.0,0.3322,0.3152,0.1613,0.0068000000000000005,17710000.0
Medical Care Facilities,253.58B,18.05,14.78,1.46,1.07,4.82,19.37,13.52,0.1718,0.1234,0.0827,-0.018799999999999997,59230000.0
Medical Devices,936.10B,35.51,19.87,3.02,3.86,3.76,17.82,29.79,0.0874,0.1177,0.0999,0.0127,192070000.0
Medical Distribution,255.24B,32.25,20.02,2.33,0.26,46.58,31.16,12.95,0.364,0.1381,0.0933,0.0092,6280000.0
Medical Instruments & Supplies,538.49B,43.7,24.09,3.77,3.68,3.47,19.78,36.75,0.1353,0.11599999999999999,0.1211,0.0038,72370000.0
Metal Fabrication,77.33B,38.65,23.84,2.52,3.3,5.84,28.04,40.62,1.0325,0.1533,0.0756,0.0108,11670000.0
Mortgage Finance,66.53B,59.31,18.41,0.89,3.88,3.23,7.47,,-0.3652,0.6697,-0.0106,0.0172,56830000.0
Oil & Gas Drilling,28.74B,57.43,26.98,1.07,1.24,1.16,7.21,15.55,0.0929,0.5385,0.17620000000000002,-0.0152,60240000.0
Oil & Gas E&P,720.93B,16.7,14.65,1.73,2.52,1.73,27.87,15.28,0.0679,0.0966,0.2163,0.0039000000000000003,224050000.0
Oil & Gas Equipment & Services,317.79B,23.17,17.62,1.83,1.98,2.8,13.3,19.16,0.0981,0.1267,0.10880000000000001,0.0024,86940000.0
Oil & Gas Integrated,1940.77B,18.38,13.79,1.34,1.16,1.8,10.45,13.76,0.25329999999999997,0.1371,0.1202,-0.0039000000000000003,93290000.0
Oil & Gas Midstream,945.94B,19.9,17.44,2.23,2.0,3.37,43.17,22.98,0.31829999999999997,0.0894,0.1197,0.009399999999999999,131250000.0
Oil & Gas Refining & Marketing,235.62B,18.33,13.71,1.07,0.41,2.11,10.19,16.66,0.20199999999999999,0.1716,0.1425,0.018000000000000002,24790000.0
Other Industrial Metals & Mining,494.44B,23.19,14.9,1.66,2.97,3.09,12.59,26.83,-0.051100000000000007,0.1398,0.035699999999999996,-0.0079,166130000.0
Other Precious Metals & Mining,59.88B,57.5,15.07,2.69,5.39,4.67,21.86,85.82,0.1381,0.214,0.11869999999999999,0.0348,46400000.0
Packaged Foods,221.40B,21.03,13.07,3.22,0.9,1.7,13.2,15.12,0.1216,0.0654,0.047599999999999996,0.0077,97310000.0
Packaging & Containers,173.56B,26.84,13.84,2.21,1.02,2.18,17.42,23.24,0.0296,0.1216,0.0776,0.0007000000000000001,40770000.0
Paper & Paper Products,16.35B,6.63,8.76,,1.04,1.66,3.31,15.37,-0.0919,-0.1253,0.0779,0.0031,4870000.0
Personal Services,57.25B,16.86,21.23,1.45,2.9,9.03,24.98,24.72,0.16010000000000002,0.1161,0.0917,0.031400000000000004,9260000.0
Pharmaceutical Retailers,317.15M,,15.14,,0.44,1.69,3.98,29.45,0.0095,,0.33299999999999996,0.0066,506690.0
Pollution & Treatment Controls,44.78B,31.14,23.67,3.03,4.27,6.43,16.02,28.34,-0.092,0.10289999999999999,0.0575,0.008199999999999999,17660000.0
Publishing,24.66B,23.24,17.68,2.4,1.81,2.83,12.74,11.65,0.23399999999999999,0.0968,0.046,0.018600000000000002,7510000.0
Railroads,503.10B,24.29,20.01,2.41,5.51,4.55,88.1,33.47,0.0906,0.1009,0.0637,0.0077,21700000.0
Real Estate - Development,9.37B,14.45,15.82,,1.26,1.02,6.99,14.52,0.0072,-0.0891,0.1266,0.0031,1170000.0
Real Estate - Diversified,8.60B,37.46,37.94,,4.31,1.82,3.77,14.7,0.2329,,0.19949999999999998,0.0046,602910.0
Real Estate Services,142.29B,37.97,19.14,1.89,1.07,2.81,7.68,24.13,0.0025,0.2011,0.12269999999999999,0.0091,428000000.0
Recreational Vehicles,31.98B,32.48,17.79,1.79,0.71,0.64,6.52,10.74,0.2975,0.1819,0.0447,-0.0096,8820000.0
REIT - Diversified,60.34B,16.77,14.95,2.66,6.41,1.26,39.25,13.55,0.037000000000000005,0.06309999999999999,0.1789,-0.0051,31650000.0
REIT - Healthcare Facilities,259.04B,147.44,55.98,4.73,8.93,2.8,32.61,34.35,-0.1496,0.3114,0.17,0.0025,29190000.0
REIT - Hotel & Motel,35.57B,27.52,26.65,1.24,1.51,1.43,9.42,15.05,-0.08810000000000001,0.2225,0.2303,0.0316,36440000.0
REIT - Industrial,297.97B,37.92,37.48,11.91,9.32,2.62,106.96,25.23,0.1042,0.0318,0.1419,0.0158,27600000.0
