ticker,name,sector,industry,marketCap
ICE,"Intercontinental Exchange, Inc.",Financial Services,Financial Data & Stock Exchanges,101089902592.0
TT,Trane Technologies plc,Industrials,Building Products & Equipment,92477235200.0
SO,The Southern Company,Utilities,Utilities - Regulated Electric,101534621696.0
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,105595002880.0
BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management,97044701184.0
AMT,American Tower Corporation,Real Estate,REIT - Specialty,95452971008.0
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,112905412608.0
SMFG,"Sumitomo Mitsui Financial Group, Inc.",Financial Services,Banks - Diversified,105279782912.0
MMC,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,101181136896.0
ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,105456615424.0
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,106373652480.0
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,96032063488.0
RELX,RELX PLC,Industrials,Specialty Business Services,85283356672.0
SE,Sea Limited,Consumer Cyclical,Internet Retail,110435401728.0
WM,"Waste Management, Inc.",Industrials,Waste Management,91196686336.0
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,96195977216.0
DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,95251161088.0
MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchanges,91430051840.0
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,98660720640.0
DELL,Dell Technologies Inc.,Technology,Computer Hardware,82620063744.0
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,78827307008.0
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Financial Services,Banks - Diversified,104977776640.0
MCK,McKesson Corporation,Healthcare,Medical Distribution,85407031296.0
BP,BP p.l.c.,Energy,Oil & Gas Integrated,90796163072.0
GD,General Dynamics Corporation,Industrials,Aerospace & Defense,87307059200.0
APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,77927235584.0
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,91213488128.0
EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,74289602560.0
HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,94524211200.0
PBR,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,77651648512.0
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,84483702784.0
COF,Capital One Financial Corporation,Financial Services,Credit Services,145311055872.0
BMO,Bank of Montreal,Financial Services,Banks - Diversified,86673145856.0
MMM,3M Company,Industrials,Conglomerates,82839945216.0
RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,86371639296.0
EQNR,Equinor ASA,Energy,Oil & Gas Integrated,62471999488.0
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,101898051584.0
CI,The Cigna Group,Healthcare,Healthcare Plans,80310624256.0
FI,"Fiserv, Inc.",Technology,Information Technology Services,75113676800.0
SCCO,Southern Copper Corporation,Basic Materials,Copper,78043234304.0
GSK,GSK plc,Healthcare,Drug Manufacturers - General,79898943488.0
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,74111524864.0
RSG,"Republic Services, Inc.",Industrials,Waste Management,73049178112.0
PNC,"The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,81691328512.0
HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,70184239104.0
AON,Aon plc,Financial Services,Insurance Brokers,79135113216.0
