symbol,Name,Sector,Industry,MarketCap,RevenueGrowth,GrossMargin,OpMargin,FCFMargin,DebtToEquity,ROIC,EV_EBITDA,PEG,CapexIntensity,InventoryCycle,M1,M3,M6,M12,RiskAdjMomentum,CycleWeight,GrowthScore,ProfitScore,CashScore,ROICScore,ValuationScore,PEGScore,CapexScore,InventoryScore,MomentumScore,TotalScore
NVDA,NVIDIA Corporation,Technology,Semiconductors,5204124106752.0,0.654735357900948,0.74144995,0.65596,0.44770258129648327,6.555,,31.1983640796886,0.1562370465337132,,1.123313492063492,-0.00807903603281912,0.09875045316126707,0.2012722797612958,0.5860564865986675,1.7321390110717505,1.2,5.230786589398432,99.97990497314137,99.67799860803305,,99.47606264933799,6.693663663627159,,42.81848834712005,17.46594951377597,
AVGO,Broadcom Inc.,Technology,Semiconductors,1998077427712.0,0.23874432853763525,0.76725996,0.44943002,0.4212750637844945,82.704,,55.07981023011688,2.446080298507463,,0.2897727272727273,0.009110467353854679,0.2725926116797377,0.24545691907651324,0.8053442190284861,1.8878141219760896,1.2,3.607851721770808,99.55115242729578,99.59439964434853,,99.07568108666804,4.689537654527904,,69.22160672057508,18.64713693447061,
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,2138486996992.0,0.3160502250676388,0.61873,0.58105,0.2605314395229283,18.447,,-0.05277931111583096,0.603961063464837,,0.0008361447992974577,0.01812434228547244,0.06641692128860965,0.5073004923668303,1.1116289457650015,3.1435574446173726,1.2,3.909450617169539,99.51103402214555,99.08591448674463,,100.0,6.301804811953958,,78.37392069454434,28.175109695875143,
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,821643378688.0,0.34337793290672874,0.5306,0.14396,0.19443401945783653,6.005,,109.44379070460226,1.7544794952681388,,0.3812347401464946,0.5058124116063647,1.3896899041538773,1.4727157604617203,3.3984813668550746,5.23204351201214,1.2,4.016066113114921,98.26496579775939,98.87682652314167,,98.16424819779577,5.294843348046944,,66.32446904646659,44.02153149555897,
TXN,Texas Instruments Incorporated,Technology,Semiconductors,295680049152.0,0.13049037785307846,0.57322,0.37824002,0.1472118538626852,83.741,,35.156035915751445,1.7915082258064516,,0.06118842500552242,0.21165419198819246,0.5266050025657327,1.0619335660482347,0.8227605278542518,2.127047553548756,1.0,3.1855130203971127,98.92190254094108,98.72744722162751,,99.40971076996368,5.262434910529751,,76.4622104750773,20.462324464074413,
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,262256279552.0,0.1365946306657769,0.54799,0.22059,0.28949507722879597,55.979,,20.595990290472855,0.16487415175817396,,0.016036120193056204,0.6559298310961865,0.7173057328764851,0.5413171095542717,0.7133150626438649,1.6182541546134772,1.0,3.209327968391796,98.48802534320089,99.17753603597437,,99.65381549391022,6.686104260943701,,77.89244844201959,16.601846324289326,
ARM,Arm Holdings plc,Technology,Semiconductors,341777612800.0,,0.97541,0.29597,,5.214,,293.93108755555556,7.804179591836736,,,0.4879562440026486,1.4382874436525745,1.441437891153591,1.3978798531028387,2.23101623396886,1.0,,99.68090281020778,,,95.07124822867063,0.0,,,21.251188507562464,
MU,"Micron Technology, Inc.",Technology,Semiconductors,1010314379264.0,0.48851101111066864,0.58437,0.67624,0.04462518058751137,14.902,,27.34895054672137,0.054746725480020755,,-0.05859154929577465,0.707869469750678,1.0891756642977022,3.323761818518836,8.31753939062982,12.609750165507544,1.15,4.582283931378466,99.65535131792524,98.40293170215968,,99.5405995369278,6.782490438962203,,80.25634385623282,100.0,
ADI,"Analog Devices, Inc.",Technology,Semiconductors,204547325952.0,0.1689321605654812,0.64491,0.38076,0.38827257385337016,25.81,,34.11990134163027,0.5867706478873239,,0.14411678767578903,0.06966557059180967,0.16755795177430177,0.8196570279698039,0.9657290786564108,3.190634456680602,1.0,3.3354886331722504,99.09796342592325,99.49000187198872,,99.42708196169595,6.316850278029605,,73.83538348761797,28.532307285971264,
INTC,Intel Corporation,Technology,Semiconductors,620811517952.0,-0.004670345191239336,0.372,0.06879,-0.0936370688513424,36.028,,44.66301044582578,,,-0.047548778488276766,0.4533474496735088,1.6348121550508403,2.5802897577700405,5.0107056559061265,6.987388346754255,1.0,2.658201048073775,97.71035369461259,97.96556255598324,,99.2503227121954,,,79.90655462321973,57.34023880679239,
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,83989553152.0,-0.027350562866656096,0.55632,0.27664,0.18607873502322927,103.991,,22.111404667899517,0.2467786976744186,,0.09380305602716468,0.4044413403358724,0.4225399826830336,0.7553695631065069,0.704431746035717,1.552067581871434,1.0,2.569717130218251,98.64076490431049,98.85039599974098,,99.62840899328606,6.614419428109523,,75.42911407482248,16.099654633609674,
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,182342696960.0,0.42087285211450765,0.51023996,0.18655,0.1698557586703439,33.479,,70.16322646270004,0.6951871297242084,,0.3479654268233466,0.3163515938880359,1.574941380745793,1.6922423098105246,2.272062328366754,3.8745510421944482,1.0,4.318402455893235,98.31770569110954,98.79907736906127,,98.82280185466668,6.221961559827147,,67.37830306992329,33.721535435034795,
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,81702207488.0,0.26431018078020935,0.55175,0.29986998,0.23768885333918183,0.543,,93.74144013909788,2.7619343387471,,0.3456487079700008,0.04750029084133156,0.3525750653023427,0.9133640576295794,1.4442999094453342,3.1386810594492043,1.0,3.7075935673788587,98.685035130398,99.01365584451803,,98.42750410019828,4.413094585082995,,67.45168712587679,28.138110044578017,
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,53150875648.0,0.07076972010178118,0.57735,0.17068,0.18480405677791686,87.715,,48.02950879751925,,,-0.19953614224971009,0.134755010596048,0.3057123907453758,0.9649585518311388,0.7162514392671335,1.6667062825823955,1.0,2.9525206457043707,98.43927110305174,98.8463637715799,,99.19388208199709,,,84.72088467901469,16.969477628550553,
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,54631137280.0,1.151265487395594,0.75988996,0.20052,0.33050291780299695,2.801,,229.18574513994457,1.4226793307086614,,0.3647807474256624,0.620829954281831,1.487085574722347,1.2476727387965463,2.2675825120888047,2.4147358137120802,1.0,7.167934275534544,98.94313599710071,99.3072573756117,,96.15672861409936,5.58524284986607,,66.845663372977,22.645163788950548,
