ticker,name,sector,industry,marketCap
LUNG,Pulmonx Corporation,Healthcare,Medical Devices,69676688.0
BSGM,"BioSig Technologies, Inc.",Healthcare,Medical Devices,168594912.0
SERA,"Sera Prognostics, Inc.",Healthcare,Medical Devices,122939936.0
LUCD,Lucid Diagnostics Inc.,Healthcare,Medical Devices,128385176.0
SRTS,"Sensus Healthcare, Inc.",Healthcare,Medical Devices,55731600.0
NVNO,enVVeno Medical Corporation,Healthcare,Medical Devices,15386131.0
HYPR,"Hyperfine, Inc.",Healthcare,Medical Devices,97440440.0
TELA,"TELA Bio, Inc.",Healthcare,Medical Devices,70517192.0
ELUT,Elutia Inc.,Healthcare,Medical Devices,96661280.0
BDMD,Baird Medical Investment Holdings Limited,Healthcare,Medical Devices,90688960.0
NSPR,"InspireMD, Inc.",Healthcare,Medical Devices,101798512.0
APYX,Apyx Medical Corporation,Healthcare,Medical Devices,75260808.0
MDAI,"Spectral AI, Inc.",Healthcare,Medical Devices,51590828.0
ICCM,IceCure Medical Ltd,Healthcare,Medical Devices,76889896.0
CTSO,Cytosorbents Corporation,Healthcare,Medical Devices,59209484.0
ECOR,"electroCore, Inc.",Healthcare,Medical Devices,40268064.0
NMTC,NeuroOne Medical Technologies Corporation,Healthcare,Medical Devices,38209616.0
MODD,"Modular Medical, Inc.",Healthcare,Medical Devices,39946952.0
COCH,"Envoy Medical, Inc.",Healthcare,Medical Devices,26470708.0
IINN,Inspira Technologies Oxy B.H.N. Ltd.,Healthcare,Medical Devices,35436904.0
VVOS,"Vivos Therapeutics, Inc.",Healthcare,Medical Devices,32495826.0
PTHL,Pheton Holdings Ltd,Healthcare,Medical Devices,16000140.0
IRIX,IRIDEX Corporation,Healthcare,Medical Devices,22769682.0
NSYS,Nortech Systems Incorporated,Healthcare,Medical Devices,26189620.0
ADGM,"Adagio Medical Holdings, Inc.",Healthcare,Medical Devices,24764376.0
NXL,"Nexalin Technology, Inc.",Healthcare,Medical Devices,16654996.0
XYLO,,Healthcare,Medical Devices,6635819.0
XAIR,"Beyond Air, Inc.",Healthcare,Medical Devices,11602186.0
TRIB,Trinity Biotech plc,Healthcare,Medical Devices,5440544.0
DHAI,"DIH Holding US, Inc.",Healthcare,Medical Devices,13785345.0
WOK,WORK Medical Technology Group LTD,Healthcare,Medical Devices,48274100.0
INBS,Intelligent Bio Solutions Inc.,Healthcare,Medical Devices,14546045.0
AIMD,"Ainos, Inc.",Healthcare,Medical Devices,17793024.0
PAVM,PAVmed Inc.,Healthcare,Medical Devices,10639650.0
CODX,"Co-Diagnostics, Inc.",Healthcare,Medical Devices,12701231.0
BMRA,"Biomerica, Inc.",Healthcare,Medical Devices,7968229.0
LFWD,Lifeward Ltd.,Healthcare,Medical Devices,9969280.0
TNON,"Tenon Medical, Inc.",Healthcare,Medical Devices,11010233.0
SSKN,"STRATA Skin Sciences, Inc.",Healthcare,Medical Devices,9927361.0
HSCS,HeartSciences Inc.,Healthcare,Medical Devices,8644589.0
SINT,"Sintx Technologies, Inc.",Healthcare,Medical Devices,11449269.0
HSDT,"Helius Medical Technologies, Inc.",Healthcare,Medical Devices,6592831.0
PFSA,"Profusa, Inc.",Healthcare,Medical Devices,13871694.0
MOVE,Movano Inc.,Healthcare,Medical Devices,7529537.0
AMIX,"Autonomix Medical, Inc.",Healthcare,Medical Devices,6320675.0
VERO,Venus Concept Inc.,Healthcare,Medical Devices,4108655.0
TIVC,"Tivic Health Systems, Inc.",Healthcare,Medical Devices,3346562.0
AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,4859587.0
BJDX,"Bluejay Diagnostics, Inc.",Healthcare,Medical Devices,2034176.0
NAOV,"NanoVibronix, Inc.",Healthcare,Medical Devices,4351347.0
RSLS,ReShape Lifesciences Inc.,Healthcare,Medical Devices,9352963.0
IVF,"INVO Fertility, Inc.",Healthcare,Medical Devices,4188063.0
BBLG,Bone Biologics Corporation,Healthcare,Medical Devices,3859809.0
NUWE,"Nuwellis, Inc.",Healthcare,Medical Devices,4603591.0
