ticker,name,sector,industry,marketCap
SSD,"Simpson Manufacturing Co., Inc.",Basic Materials,Lumber & Wood Production,7953897984.0
WFG,West Fraser Timber Co. Ltd.,Basic Materials,Lumber & Wood Production,5741852160.0
BCC,Boise Cascade Company,Basic Materials,Lumber & Wood Production,3248362496.0
UFPI,"UFP Industries, Inc.",Basic Materials,Lumber & Wood Production,5913419264.0
NWGL,Nature Wood Group Limited,Basic Materials,Lumber & Wood Production,22845072.0
JCTC,Jewett-Cameron Trading Company Ltd.,Basic Materials,Lumber & Wood Production,12700413.0
