ticker,name,sector,industry,marketCap
JOBY,"Joby Aviation, Inc.",Industrials,Airports & Air Services,12112145408.0
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",Industrials,Airports & Air Services,12102080512.0
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Industrials,Airports & Air Services,9754200064.0
CAAP,Corporación América Airports S.A.,Industrials,Airports & Air Services,3508001536.0
UP,Wheels Up Experience Inc.,Industrials,Airports & Air Services,2047478272.0
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",Industrials,Airports & Air Services,4918774272.0
ASLE,AerSale Corporation,Industrials,Airports & Air Services,407176352.0
